dataset,T2,clusters,min,mean
UNC28,20,4,0.42913385826771655,0.682825279230939
UNC28,20,5,0.42063492063492064,0.691665799446495
UNC28,20,6,0.4163265306122449,0.6902231752978535
UNC28,20,7,0.4122448979591837,0.7227985349233569
UNC28,20,8,0.4236453201970443,0.7072455230812602
UNC28,20,4,0.4308300395256917,0.6741250506256412
UNC28,20,5,0.41935483870967744,0.6944637601574948
UNC28,20,6,0.4334763948497854,0.7041390524747415
UNC28,20,7,0.42424242424242425,0.6750527836081079
UNC28,20,8,0.4256410256410256,0.6985044974655362
UNC28,20,4,0.4044117647058824,0.682798625019973
UNC28,20,5,0.4015151515151515,0.6926217543761612
UNC28,20,6,0.3970037453183521,0.6843967889289723
UNC28,20,7,0.42105263157894735,0.6567363268157145
UNC28,20,8,0.4114832535885167,0.6760734996976938
UNC28,20,4,0.4493927125506073,0.6860393122925076
UNC28,20,5,0.4382470119521912,0.702152043083945
UNC28,20,6,0.4390243902439024,0.7110914645429437
UNC28,20,7,0.0,0.6080314364862875
UNC28,20,8,0.0,0.6387520187521178
UNC28,20,4,0.4393305439330544,0.6822459343161618
UNC28,20,5,0.4472573839662447,0.7003499060364833
UNC28,20,6,0.4406779661016949,0.6993113007999461
UNC28,20,7,0.4292682926829268,0.7017955917075352
UNC28,20,8,0.4271356783919598,0.6920685398610892
UNC28,20,4,0.4233870967741936,0.6807875248217418
UNC28,20,5,0.4112903225806452,0.7021168867014987
UNC28,20,6,0.4016393442622951,0.6956368274801231
UNC28,20,7,0.41,0.6758024616223073
UNC28,20,8,0.4085106382978723,0.7474487389856346
UNC28,20,4,0.4430379746835443,0.6834141669597509
UNC28,20,5,0.4309623430962343,0.6951254835866797
UNC28,20,6,0.44017094017094016,0.6837565089546892
UNC28,20,7,0.4117647058823529,0.6763975033812306
UNC28,20,8,0.405940594059406,0.7041151973631253
UNC28,10,4,0.4233870967741936,0.6812145964592281
UNC28,10,5,0.41200000000000003,0.6910448712895539
UNC28,10,6,0.41152263374485604,0.7246732228027207
UNC28,10,7,0.37681159420289856,0.6636498604254238
UNC28,10,8,0.3737864077669903,0.6976738568541534
UNC28,10,4,0.4302788844621514,0.6822627801573363
UNC28,10,5,0.42063492063492064,0.6877453799498415
UNC28,10,6,0.4214876033057851,0.6941115844742892
UNC28,10,7,0.41841004184100417,0.6968571695240333
UNC28,10,8,0.42,0.7083462849849855
UNC28,10,4,0.3984674329501916,0.6799992223272744
UNC28,10,5,0.3953488372093023,0.6929965889314829
UNC28,10,6,0.4,0.7042713023043495
UNC28,10,7,0.4047619047619048,0.7353134472288316
UNC28,10,8,0.4032258064516129,0.7465721478722741
UNC28,10,4,0.4227642276422765,0.6820229049858317
UNC28,10,5,0.42738589211618255,0.6930160611402613
UNC28,10,6,0.4152542372881356,0.6940389659850519
UNC28,10,7,0.4187192118226601,0.6881439426500079
UNC28,10,8,0.4181034482758621,0.7469053146644409
