dataset,T2,auc,ap,dp,true,false,fnr,tnr
UNC28,20,0.8781456923493969,0.8848247887197815,0.023030809958556168,0.009319998214937468,0.002601919480191932,0.03584636530684022,0.021370316811881656
UNC28,20,0.8714280705963451,0.8774490413811435,0.015802001745683254,9.595125799907591e-05,0.003357887906532555,0.0176986023828589,0.015651816192806797
UNC28,20,0.8649360043688125,0.8672458215270695,0.018901736435376945,0.005347574217234908,0.0030419875291853803,0.029258040935672518,0.014239953133713497
UNC28,20,0.8737273078751261,0.8818303340240871,0.01923317722274857,0.0001823650693157243,0.011560510196318995,0.023900549634925817,0.03901391100561848
UNC28,20,0.8761722692293827,0.8856631091757438,0.011353311029817272,0.0030238378300835077,0.0021426518735130217,0.0248690044757773,0.022943967183711743
UNC28,20,0.8700312431479179,0.8786349838742982,0.020615048773835205,0.0024879898852463787,0.013504744140273748,0.0220203021552884,0.03620775949270058
UNC28,10,0.8748909533367574,0.884458172644528,0.015858222824846998,0.0024761208810919802,0.003100688206869102,0.03730272706322959,0.02674899747132896
UNC28,10,0.8718781139428043,0.8808206158567617,0.014300113368943547,0.0007280379093276468,0.002172903696230972,0.024608861732096303,0.017079137218732
UNC28,10,0.8681133523990173,0.8762944977922299,0.018023295494730224,0.0006146795753018463,0.0035950886874558476,0.015233838172605088,0.02030586724563566
UNC28,10,0.8698314415954801,0.8785395446758612,0.008724333961279135,0.0055814633115277,0.00041281626183158987,0.027398949400565243,0.023357495048253192
UNC28,10,0.8686898894055171,0.8779768523492024,0.015518031846455862,0.0007606761688485753,0.003299792565113385,0.025332446332896986,0.01737518401893886
UNC28,10,0.8674348320057191,0.8741713023747169,0.012929117615593741,0.006691199417206397,0.0031300341715544164,0.031671220184583605,0.016561029388556303
UNC28,10,0.8685872137706951,0.8758606499854898,0.010067310013442805,0.0017128026552415757,0.002435233583436393,0.035458551703505925,0.017917154927659096
UNC28,10,0.8533796510619414,0.8580945392801916,0.015578343111948143,0.00965988623117546,0.0015339416719744876,0.03832120994776407,0.014682273164399047
UNC28,10,0.8725399734514669,0.8780012363613737,0.01296315270086133,0.002825226906468511,0.001882298933855618,0.030709380500057906,0.020581557166923014
UNC28,10,0.8756289601280157,0.8813659712519483,0.01620721605383541,0.0005945247751620338,0.0060138197812462536,0.036821140092818866,0.02916836260357732
UNC28,10,0.8738614749285131,0.8822116727357252,0.01831650816575066,0.0039095694836869055,0.010509327303606751,0.019321561062809446,0.030622822554838943
UNC28,10,0.8677383768975574,0.8776031959956626,0.0160627242841963,0.006408609838481473,0.003465429422446369,0.02189496956297889,0.018012507026894276
UNC28,10,0.8677134442356906,0.8772316668145891,0.011251542342938424,0.0006678432081054683,0.003593675569260494,0.03332244792566532,0.01978052019058033
UNC28,10,0.8785875108506944,0.887345649093261,0.016446915832180532,0.0005044274964207565,0.0004243500510347138,0.0156367437807433,0.01696195345473715
UNC28,10,0.8777757268463451,0.8841104984335545,0.022573344975125267,0.007755873160352478,0.0031203169727262205,0.032255070457507584,0.023685320249652368
UNC28,10,0.8698079990268166,0.8756891618797893,0.014858703369294103,0.0017608011902107191,0.003265284973943347,0.0222800852039181,0.017389184977930683
UNC28,10,0.8630819881663603,0.8655035982676386,0.01893453699101777,0.005345855629974135,0.003377010035529517,0.030116959064327486,0.017865330777218028
UNC28,10,0.8772714182946464,0.8850445512215988,0.019070177673072786,0.0008555066570891857,0.011440817445067673,0.026141196473489416,0.03764459333593727
UNC28,10,0.8759965320955283,0.8853331817642369,0.010895523272091895,0.0021303119898509674,0.002217602837825095,0.02033533069850581,0.021085461119679204
UNC28,10,0.8706298264940167,0.8791811704641761,0.020033274040763608,0.0017771750983971602,0.012966215370637014,0.023486762336143264,0.03644260641759616
UNC28,5,0.8729453961329477,0.8826293086841569,0.015347349653362043,0.003310460592469977,0.0031942117398102627,0.0419639464202049,0.02598273351893949
UNC28,5,0.871973350844627,0.8810901813325007,0.014285866609931315,0.0009426094995064847,0.0024454228310601843,0.025026617948072274,0.02081953688618111
UNC28,5,0.8670392415927768,0.8755648352399856,0.01797234905642426,0.0011190477758387491,0.0032541598884275784,0.016992118439839967,0.016179060112114504
UNC28,5,0.8678378142195908,0.8771780279661809,0.008781621599997682,0.00560375145255302,0.0006340771060008475,0.029321165100248733,0.028384496366712218
UNC28,5,0.8681093162410491,0.8776224228768229,0.01540049975098069,0.0005587904505388074,0.003371831844215963,0.026992853923903947,0.0184711931606173
UNC28,5,0.8661124505523717,0.8728574933690197,0.012521595117285454,0.005939652987789161,0.0030473007141488075,0.02997290672661236,0.017288491223112844
UNC28,5,0.8678391283175342,0.8753050814424796,0.010533378987682671,0.0007101905136301383,0.002363752020231348,0.0349098307156789,0.01986252762246056
