dataset,T2,ratio,div,recall
Oklahoma97,10,0.2,0.5407680168332457,0.9136223967224308
Oklahoma97,5,0.025,0.4241245136186769,0.9699453551912568
Oklahoma97,5,0.05,0.5030800821355236,0.9699453551912568
Oklahoma97,5,0.075,0.5508474576271186,0.9626593806921676
Oklahoma97,5,0.1,0.5708154506437768,0.9542349726775956
Oklahoma97,5,0.125,0.5748709122203098,0.9530054644808744
Oklahoma97,5,0.15,0.5844155844155844,0.9444444444444444
Oklahoma97,5,0.175,0.5919254658385094,0.9364026531408506
Oklahoma97,5,0.2,0.5883947939262473,0.9221577330146808
Oklahoma97,5,0.025,0.3656716417910448,0.9726775956284152
Oklahoma97,5,0.05,0.4186046511627907,0.9713114754098359
Oklahoma97,5,0.075,0.4817813765182186,0.9726775956284152
Oklahoma97,5,0.1,0.4923547400611621,0.96448087431694
Oklahoma97,5,0.125,0.5237302248126561,0.9584699453551913
Oklahoma97,5,0.15,0.5388927820602663,0.9480874316939892
Oklahoma97,5,0.175,0.5347305389221557,0.9395239953179868
Oklahoma97,5,0.2,0.5472794506075013,0.9303516558552408
Oklahoma97,5,0.025,0.4296875,0.9726775956284152
Oklahoma97,5,0.05,0.46399999999999997,0.96448087431694
Oklahoma97,5,0.075,0.5165745856353591,0.9626593806921676
Oklahoma97,5,0.1,0.5329842931937173,0.9596994535519126
Oklahoma97,5,0.125,0.5404040404040404,0.9562841530054644
Oklahoma97,5,0.15,0.5530410183875529,0.9471766848816028
Oklahoma97,5,0.175,0.5772307692307692,0.9391338275458448
Oklahoma97,5,0.2,0.58495670995671,0.9303516558552408
Oklahoma97,5,0.025,0.5123966942148761,0.9726775956284152
Oklahoma97,5,0.05,0.5092783505154639,0.9713114754098359
Oklahoma97,5,0.075,0.525,0.96448087431694
Oklahoma97,5,0.1,0.5426765015806112,0.9542349726775956
Oklahoma97,5,0.125,0.5508474576271186,0.9502732240437158
Oklahoma97,5,0.15,0.5421348314606742,0.9453551912568308
Oklahoma97,5,0.175,0.5514527845036321,0.9383534920015608
Oklahoma97,5,0.2,0.5696677384780279,0.9289860020484808
Oklahoma97,5,0.025,0.46399999999999997,0.9918032786885246
Oklahoma97,5,0.05,0.5030800821355236,0.9849726775956285
Oklahoma97,5,0.075,0.5356643356643357,0.977231329690346
Oklahoma97,5,0.1,0.5426765015806112,0.9665300546448088
Oklahoma97,5,0.125,0.5667808219178082,0.9590163934426228
Oklahoma97,5,0.15,0.5867052023121387,0.9517304189435336
Oklahoma97,5,0.175,0.5869969040247678,0.9457666796722592
Oklahoma97,5,0.2,0.5970556161395856,0.9382041652441108
Oklahoma97,5,0.025,0.4131274131274131,0.9699453551912568
Oklahoma97,5,0.05,0.4610778443113773,0.9740437158469946
Oklahoma97,5,0.075,0.4698795180722892,0.9681238615664846
Oklahoma97,5,0.1,0.4938775510204082,0.956967213114754
Oklahoma97,5,0.125,0.5111478117258464,0.9491803278688524
Oklahoma97,5,0.15,0.5292479108635098,0.9412568306010928
Oklahoma97,5,0.175,0.5458383594692401,0.9336714787358564
Oklahoma97,5,0.2,0.5563230605738576,0.9231819733697508
Oklahoma97,5,0.025,0.4878048780487805,0.9808743169398908
Oklahoma97,5,0.05,0.5061728395061729,0.9726775956284152
Oklahoma97,5,0.075,0.5207756232686981,0.9626593806921676
Oklahoma97,5,0.1,0.5313807531380753,0.956967213114754
Oklahoma97,5,0.125,0.535234899328859,0.9475409836065574
Oklahoma97,5,0.15,0.556343019135365,0.9408014571948998
Oklahoma97,5,0.175,0.5704656862745098,0.9321108076472884
Oklahoma97,5,0.2,0.5721953837895867,0.9300102424035508
Oklahoma97,5,0.025,0.4352941176470588,0.9617486338797814
Oklahoma97,5,0.05,0.464,0.9658469945355193
Oklahoma97,5,0.075,0.5082417582417582,0.9626593806921676
Oklahoma97,5,0.1,0.5234131113423517,0.9549180327868853
Oklahoma97,5,0.125,0.5430016863406408,0.9491803278688524
Oklahoma97,5,0.15,0.5399719495091164,0.9426229508196722
Oklahoma97,5,0.175,0.5552184466019418,0.9340616465079984
Oklahoma97,5,0.2,0.5696677384780279,0.9245476271765108
Oklahoma97,5,0.025,0.3309090909090909,0.9535519125683058
Oklahoma97,5,0.05,0.3916349809885932,0.9672131147540984
Oklahoma97,5,0.075,0.4409448818897638,0.9626593806921676
Oklahoma97,5,0.1,0.4787878787878788,0.9603825136612022
Oklahoma97,5,0.125,0.4853896103896104,0.9562841530054644
Oklahoma97,5,0.15,0.5082417582417582,0.9521857923497268
Oklahoma97,5,0.175,0.5319784817692768,0.9430355052672648
Oklahoma97,5,0.2,0.5472794506075013,0.9344486172755206
Oklahoma97,5,0.025,0.4241245136186769,0.9836065573770492
Oklahoma97,5,0.05,0.4409448818897638,0.976775956284153
Oklahoma97,5,0.075,0.477792732166891,0.9708561020036428
Oklahoma97,5,0.1,0.4984646878198567,0.9637978142076504
Oklahoma97,5,0.125,0.5036976170912079,0.9595628415300548
Oklahoma97,5,0.15,0.5197231833910034,0.9494535519125684
Oklahoma97,5,0.175,0.5356500898741762,0.9418650019508388
Oklahoma97,5,0.2,0.5432033719704953,0.9354728576305906
Oklahoma97,5,0.025,0.4698795180722892,0.9726775956284152
Oklahoma97,5,0.05,0.4698795180722892,0.9699453551912568
Oklahoma97,5,0.075,0.5165745856353591,0.9599271402550092
Oklahoma97,5,0.1,0.5281837160751566,0.9576502732240436
Oklahoma97,5,0.125,0.5224625623960066,0.9480874316939892
Oklahoma97,5,0.15,0.5432185523541813,0.9394353369763204
Oklahoma97,5,0.175,0.5542753183747726,0.927428794381584
Oklahoma97,5,0.2,0.5705093833780159,0.9163537043359508
Oklahoma97,5,0.025,0.5186721991701245,0.96448087431694
Oklahoma97,5,0.05,0.5475687103594079,0.9672131147540984
Oklahoma97,5,0.075,0.561877667140825,0.9617486338797814
Oklahoma97,5,0.1,0.5657754010695187,0.9535519125683058
Oklahoma97,5,0.125,0.5587734241908007,0.9437158469945356
Oklahoma97,5,0.15,0.5663338088445078,0.9380692167577414
Oklahoma97,5,0.175,0.5685434516523867,0.9282091299258679
Oklahoma97,5,0.2,0.5671482075976458,0.9129395698190508
Oklahoma97,5,0.025,0.3707865168539326,0.9726775956284152
Oklahoma97,5,0.05,0.4938775510204082,0.96448087431694
Oklahoma97,5,0.075,0.5061728395061729,0.9663023679417122
Oklahoma97,5,0.1,0.5426765015806112,0.9617486338797814
Oklahoma97,5,0.125,0.5803108808290155,0.9551912568306012
Oklahoma97,5,0.15,0.5924583031182016,0.9485428051001822
Oklahoma97,5,0.175,0.6170347003154574,0.9364026531408506
Oklahoma97,5,0.2,0.612885462555066,0.9283031751451007
Oklahoma97,5,0.025,0.3916349809885932,0.9863387978142076
Oklahoma97,5,0.05,0.4466403162055336,0.9808743169398908
Oklahoma97,5,0.075,0.5061728395061729,0.9754098360655736
Oklahoma97,5,0.1,0.5426765015806112,0.9685792349726776
Oklahoma97,5,0.125,0.5199335548172758,0.9579234972677596
Oklahoma97,5,0.15,0.5324494068387997,0.9517304189435336
Oklahoma97,5,0.175,0.5486404833836858,0.9461568474444012
Oklahoma97,5,0.2,0.5579787234042554,0.9344486172755206
Oklahoma97,5,0.025,0.4296875,0.9726775956284152
Oklahoma97,5,0.05,0.4269005847953216,0.9658469945355193
Oklahoma97,5,0.075,0.477792732166891,0.96448087431694
Oklahoma97,5,0.1,0.5443037974683544,0.9528688524590164
Oklahoma97,5,0.125,0.5495342929720576,0.9475409836065574
Oklahoma97,5,0.15,0.5443037974683544,0.9439890710382514
Oklahoma97,5,0.175,0.5458383594692401,0.9356223175965666
Oklahoma97,5,0.2,0.5621333333333334,0.9286445885967908
Oklahoma97,5,0.025,0.4352941176470588,0.9699453551912568
Oklahoma97,5,0.05,0.5123966942148761,0.9726775956284152
Oklahoma97,5,0.075,0.5313807531380753,0.9626593806921676
Oklahoma97,5,0.1,0.5524920466595971,0.9535519125683058
Oklahoma97,5,0.125,0.5561224489795918,0.9480874316939892
Oklahoma97,5,0.15,0.556343019135365,0.9435336976320584
Oklahoma97,5,0.175,0.5590024330900243,0.9344518142801403
Oklahoma97,5,0.2,0.5588078765300691,0.9252304540798908
Oklahoma97,5,0.025,0.4241245136186769,0.9754098360655736
Oklahoma97,5,0.05,0.5607675906183369,0.9617486338797814
Oklahoma97,5,0.075,0.5378151260504201,0.9571948998178508
Oklahoma97,5,0.1,0.5313807531380753,0.9528688524590164
Oklahoma97,5,0.125,0.5574468085106383,0.9437158469945356
Oklahoma97,5,0.15,0.5530410183875529,0.9398907103825136
Oklahoma97,5,0.175,0.5486404833836858,0.9321108076472884
Oklahoma97,5,0.2,0.5638013881473571,0.9231819733697508
Oklahoma97,5,0.025,0.3656716417910448,0.9836065573770492
Oklahoma97,5,0.05,0.4381139489194499,0.9699453551912568
Oklahoma97,5,0.075,0.4620505992010652,0.9690346083788708
Oklahoma97,5,0.1,0.4758064516129033,0.9672131147540984
Oklahoma97,5,0.125,0.4805825242718447,0.9628415300546448
Oklahoma97,5,0.15,0.5030800821355236,0.9526411657559198
Oklahoma97,5,0.175,0.5228758169934641,0.9481076863051112
Oklahoma97,5,0.2,0.5399579390115667,0.9399112325025606
Oklahoma97,5,0.025,0.4938775510204082,0.9617486338797814
Oklahoma97,5,0.05,0.5030800821355236,0.9685792349726776
Oklahoma97,5,0.075,0.5082417582417582,0.9699453551912568
Oklahoma97,5,0.1,0.525,0.9637978142076504
Oklahoma97,5,0.125,0.5417017691659646,0.9612021857923496
Oklahoma97,5,0.15,0.5475687103594079,0.9535519125683058
Oklahoma97,5,0.175,0.5695039804041642,0.9434256730394068
