dataset,T2,clusters,min,mean
1684,10,5,0.32515337423312884,0.6074596154151012
1684,10,6,0.33125,0.6258834932067797
1684,10,7,0.3035714285714285,0.5891267168135811
1684,10,8,0.2391304347826087,0.5545905531159415
1684,10,4,0.41025641025641024,0.5888392556699644
1684,10,5,0.33540372670807456,0.6032136809006624
1684,10,6,0.32653061224489793,0.5682099015825931
1684,10,7,0.32653061224489793,0.5909700470022482
1684,10,8,0.32653061224489793,0.5889770713022725
1684,10,4,0.40540540540540543,0.5827145803379719
1684,10,5,0.3413173652694611,0.6041518706191221
1684,10,6,0.3333333333333333,0.5657977342032757
1684,10,7,0.3333333333333333,0.5899616574168647
1684,10,8,0.3355263157894737,0.5762157716927454
1684,10,4,0.3869346733668342,0.5985050451390592
1684,10,5,0.33136094674556216,0.6160142528411761
1684,10,6,0.3273809523809524,0.6390796836369087
1684,10,7,0.32515337423312884,0.5980326961155181
1684,10,8,0.1702127659574468,0.5634052733095963
1684,10,4,0.3920454545454545,0.5817009101287849
1684,10,5,0.31736526946107785,0.6050584476651094
1684,10,6,0.3416149068322981,0.625893836964628
1684,10,7,0.335483870967742,0.6180142212590557
1684,10,8,0.3223684210526316,0.5898326394739595
1684,10,4,0.4010152284263959,0.5909048970880462
1684,10,5,0.33125,0.6083158149438638
1684,10,6,0.3125,0.5750506370323443
1684,10,7,0.3181818181818182,0.5908120986823133
1684,10,8,0.3090909090909091,0.5592278052545909
1684,10,4,0.3930348258706468,0.5961648711887048
1684,10,5,0.3674698795180723,0.5968339189580788
1684,10,6,0.32,0.5720279297168451
1684,10,7,0.32,0.5856327197031286
1684,10,8,0.18,0.5553732532287499
1684,10,4,0.4015748031496063,0.5873259045880608
1684,10,5,0.3375,0.6033361436057734
1684,10,6,0.3461538461538461,0.6150372642259471
1684,10,7,0.3103448275862069,0.5895663935332254
1684,10,8,0.3103448275862069,0.5948514002960464
1684,5,4,0.3880597014925373,0.5969752428334518
1684,5,5,0.3431952662721893,0.6040643934644672
1684,5,6,0.3413173652694611,0.6280327493624555
1684,5,7,0.2676056338028169,0.5857018517414693
1684,5,8,0.3035714285714285,0.5839315902979254
1684,5,4,0.3647058823529412,0.5834269553690556
1684,5,5,0.33136094674556216,0.6100296006887378
1684,5,6,0.3137254901960784,0.5762545163846307
1684,5,7,0.3137254901960784,0.5962745234645656
1684,5,8,0.125,0.5448298386340182
1684,5,4,0.3372781065088757,0.5826881333291589
1684,5,5,0.3430232558139535,0.6120589204912656
1684,5,6,0.35294117647058826,0.6174256163902171
1684,5,7,0.34,0.5949328206316266
1684,5,8,0.32653061224489793,0.5806043286666142
1684,5,4,0.4134615384615384,0.5952591854283927
1684,5,5,0.3641618497109825,0.6047508068685012
1684,5,6,0.3469387755102041,0.5714068525319665
1684,5,7,0.3469387755102041,0.5907803724631839
1684,5,8,0.1568627450980392,0.5482692148763265
1684,5,4,0.4140625,0.5913926427241772
1684,5,5,0.3764705882352941,0.6081656474583328
1684,5,6,0.3532934131736527,0.6343251189006414
1684,5,7,0.3167701863354037,0.597542301213621
1684,5,8,0.3375796178343949,0.5835753483682924
1684,5,4,0.40384615384615385,0.6025109047604614
1684,5,5,0.3428571428571429,0.6107455430526202
1684,5,6,0.36,0.6318119503926233
1684,5,7,0.32,0.5936177714427398
1684,5,8,0.32,0.6088211370465177
1684,5,4,0.38341968911917096,0.5944302208550913
1684,5,5,0.3176470588235294,0.6140023786278427
1684,5,6,0.3176470588235294,0.6353675523982067
1684,5,7,0.3160919540229885,0.6036143913544602
1684,5,8,0.2804878048780488,0.6168903352801558
1684,5,4,0.385,0.598201251947974
1684,5,5,0.3333333333333333,0.6083012218045113
1684,5,6,0.33532934131736525,0.5739609153224787
1684,5,7,0.32,0.5949843742792564
1684,5,8,0.2241379310344828,0.5608252590671907
1684,5,4,0.40625,0.5993972768154563
1684,5,5,0.3815028901734104,0.6088010820959936
1684,5,6,0.4046242774566474,0.6296972936679186
1684,5,7,0.2833333333333333,0.5935638926229174
1684,5,8,0.206896551724138,0.5595165244532601
1684,5,4,0.37373737373737376,0.6016479671600153
1684,5,5,0.3413173652694611,0.6054621988990775
1684,5,6,0.29310344827586204,0.5700258842458659
1684,5,7,0.29310344827586204,0.5926164207089061
1684,5,8,0.3018867924528302,0.5840280021613599
1684,5,4,0.3567251461988304,0.5809709378876173
1684,5,5,0.3433734939759036,0.6050072847613299
1684,5,6,0.3496932515337423,0.6236906716536702
1684,5,7,0.3035714285714285,0.5896959509493201
1684,5,8,0.13793103448275862,0.5390920424171279
1684,5,4,0.4029850746268657,0.5977055211076968
1684,5,5,0.3333333333333333,0.6187946276703399
1684,5,6,0.35294117647058826,0.6338884698409681
1684,5,7,0.33714285714285713,0.605083403332907
1684,5,8,0.19230769230769232,0.5602203078176342
1684,5,4,0.3712871287128713,0.6059315215432541
1684,5,5,0.3148148148148148,0.6074682069210112
1684,5,6,0.3207547169811321,0.6257021774498276
1684,5,7,0.1875,0.5254316532868353
1684,5,8,0.3202614379084967,0.5908128932474279
