dataset,alpha,auc,ap,dp,true,false,fnr,tnr
cora,10.0,0.7432209095917243,0.7275091265493796,0.29823960180579945,0.08934302737874879,0.2901533042468416,0.21404578803146826,0.3624323279195669
cora,10.0,0.6259771215825498,0.5963252857232301,0.124772725098127,0.019526211617701014,0.1443758309536403,0.30861129278395466,0.3127062706270627
cora,10.0,0.7255130000828146,0.7146778706451815,0.2052903841001158,0.08026243448169568,0.08003769547134161,0.2450536062378168,0.12701149425287356
cora,10.0,0.7141133983127437,0.6971713461458637,0.247351201045774,0.13054272180518367,0.15601624103734515,0.3368627450980392,0.2015686274509804
cora,10.0,0.7035113365907053,0.6690684983347295,0.2452681571781101,0.10892126052538993,0.2102157210521848,0.3031372549019608,0.2638698194762268
cora,10.0,0.7923299331362588,0.7593962906193291,0.3148253263180043,0.059761152362149725,0.20528397359319508,0.20784313725490197,0.24491318221374994
cora,10.0,0.7388785470728659,0.6833139537822963,0.348107059724997,0.1351815162771698,0.2797851509959289,0.3317972350230415,0.3331209379380655
cora,10.0,0.7078717022709188,0.6582407517548237,0.2104585013175208,0.09177439205966308,0.10986435114769638,0.2463326562852629,0.19402457349951385
cora,10.0,0.7232428014359321,0.7170513049033526,0.2697888515304042,0.1415402375518439,0.2143942220475075,0.3928337236533958,0.25054900730515844
cora,10.0,0.7156760727183693,0.667676238298619,0.2751247018213133,0.06718633280432881,0.18515750853697008,0.2563106796116505,0.2056872675122126
cora,10.0,0.7697809735389534,0.7371549346680168,0.29179181711497665,0.11253337391819772,0.16297421328720765,0.42705882352941177,0.2037768031189084
cora,10.0,0.7622448501956944,0.7219237319681666,0.3338073209190101,0.07976360733774476,0.31713821189443914,0.27229639519359145,0.4126928117753806
cora,10.0,0.7485210402946758,0.7214344641357854,0.3408849616867581,0.1846516136471673,0.25571761629938466,0.346655622282046,0.3022691594120165
cora,10.0,0.7145742792434351,0.6670520274484197,0.3242821279649389,0.15490778318361434,0.29912662310086496,0.2555063983635412,0.4049328583173472
cora,10.0,0.7636184914070909,0.7326389161373966,0.3319190275204946,0.1382869659396849,0.2696534540040621,0.34233252105510664,0.3317564402810305
cora,10.0,0.7467135228946202,0.7270989370472495,0.2547426604014518,0.10437286326311836,0.10394942509286816,0.30315463613581645,0.14146500981033355
cora,20.0,0.6827554918643713,0.6600054907835156,0.19679545029172155,0.07527597182561359,0.15188681503503634,0.22126696832579185,0.2387132637277649
cora,20.0,0.7043898908648358,0.6671430681598004,0.2120016004797229,0.09330336448402704,0.0648418886137353,0.3156255682851428,0.12589791161219732
cora,20.0,0.6934601716061339,0.6827427687413408,0.1450705627379214,0.04544835972909643,0.042093492419368994,0.23520661925347466,0.12080415358609033
cora,20.0,0.7288471855657853,0.7002050558296096,0.2425864045270153,0.0852056359563279,0.060952973111187164,0.20249340685686887,0.12336003144808608
cora,20.0,0.7235488551789694,0.7022977238314376,0.19172445682136424,0.03817421909118364,0.14639818856336492,0.13824803323610005,0.1931554524361949
cora,20.0,0.7496120318727968,0.7220898784973564,0.3002450193303017,0.10148046392579928,0.2370673634367871,0.3202092871157619,0.2798035901151091
cora,20.0,0.5652200526412438,0.5513253527219784,0.008439687121104955,0.007759039982057432,0.016507630123407783,0.2057017543859649,0.1294352823588206
cora,20.0,0.7072397913073536,0.6942311722739682,0.21277427242399724,0.07533799975196134,0.14182830541051064,0.25882352941176473,0.21176470588235294
cora,20.0,0.6595386149807907,0.6247904910834317,0.10816539284913554,0.014042486116637123,0.1026514898845711,0.24509803921568624,0.18047292143401986
cora,20.0,0.7050650094156534,0.6582497504196607,0.2495999598363729,0.06135705711721814,0.16832244359396234,0.29568627450980395,0.1930297128175376
cora,20.0,0.7418004601608043,0.6990819699633652,0.2900415211697439,0.08535985939030816,0.21858381402286475,0.2572964669738863,0.2980332186398199
cora,20.0,0.7013923644992061,0.668337040394803,0.2606025091714538,0.08366144377871595,0.2022047818189346,0.3068381855111713,0.24279589852382216
cora,20.0,0.7634402601096753,0.7401315202332405,0.3094069860023134,0.1635966193122447,0.17791977635719358,0.3323887587822014,0.2334289427687895
cora,20.0,0.7125579251716601,0.667627003417419,0.2655046037991983,0.09096754314440564,0.20026702304111865,0.2949767834529337,0.2684533679917537
